,awardeeName,count_total
0,"123 SEE, INC.",1
1,18F GSA,1
2,"2KR SYSTEMS, LLC",2
3,"37DEGREES, INC.",1
4,"4-D AVIONIC SYSTEMS, LLC",1
5,"ACADEMIC WEB PAGES, INC.",1
6,"ACTIVATE GLOBAL, INC.",1
7,ADAPTIVE WAVES INC.,2
8,ADAVANCE NANOLYTICS INC,1
9,ADVANCED CARPET RECYCLING LLC,1
10,"AERHART, LLC",2
11,"AERIS WATER TECHNOLOGIES, LLC",1
12,"AEROSHIELD MATERIALS, INC.",2
13,AI POW LLC,1
14,AI-NEOTECH LLC,1
15,"AIDAR HEALTH, INC",1
16,AIKIDO TECHNOLOGIES INC,1
17,"AIR COMPANY HOLDINGS, INC.",1
18,"AKORN TECHNOLOGY, INC.",1
19,"AKTTYVA THERAPEUTICS, INC.",2
20,ALAMO COMMUNITY COLLEGE DISTRICT - St. Philip's College,1
21,ALASKA CONSERVATION FOUNDATION,2
22,"ALERJE, INC.",1
23,"ALVA HEALTH, INC.",2
24,"AMBOTS, INC.",1
25,AMHYTECH LLC,1
26,"AMPHIX BIO, INC.",1
27,"ANEURISK, INC.",1
28,"ANOVA BIOMEDICAL, INC.",1
29,ANTELOPE VALLEY UNION HIGH SCHOOL DISTRICT,2
30,ANVIL DIAGNOSTICS INC.,1
31,"APOGEE SEMICONDUCTOR, INC.",1
32,APPLIED SCIENCE & TECHNOLOGY ORGANIZATION OF AMERICA CORP,1
33,"AQUAGGA, INC.",1
34,"AQUAVEO, LLC",1
35,ARCLET LLC,1
36,ARED LLC,2
37,ARTEMIS INTELLIGENCE LLC,1
38,ARTIMUS ROBOTICS INC,1
39,ASANTE BIO LLC,1
40,"ASPERO MEDICAL, INC.",1
41,"ASTROLABE ANALYTICS, INC.",1
42,ATHEM L.L.C.,2
43,ATLAS AI P.B.C.,1
44,"ATMOSPHERIC & SPACE TECHNOLOGY RESEARCH ASSOCIATES, L.L.C.",4
45,ATOM BIOWORKS INC,1
46,ATRILITY MEDICAL LLC,1
47,"AUDIOT, INC.",2
48,"AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC.",13
49,AUXILIUM HEALTH INC,2
50,"AVANPORE, LLC",1
51,"AVICENATECH, CORP.",1
52,Aaniiih Nakoda College,6
53,"Abdelrahman, Mustafa Kamal",2
54,"Abrishami, Tara",1
55,Academy of Natural Sciences Philadelphia,7
56,"Accelerate Wind, Inc.",2
57,Adams State University,3
58,Adelphi University,5
59,"Adhikari, Arka",1
60,Adler Planetarium,1
61,"Advanced Cooling Technologies, Inc.",1
62,Aerodyne Research Inc,2
63,Aerospace Corporation,6
64,Afsartech Inc.,2
65,Agnes Scott College,5
66,"Agrawal, Devanshu",1
67,"AgroSpheres, Inc.",2
68,"Agwamba, Kennedy",2
69,Air Force Institute of Tech,4
70,"Ajala, Rasheed",1
71,"Akanocure Pharmaceuticals, Inc.",2
72,"Akopyan, Maria",2
73,"Alaasam, Valentina",1
74,Alabama A&M University,30
75,Alabama State University,15
76,Alamo Community College District Northeast Lakeview College,2
77,Alaska Native Tribal Health Consortium,1
78,Alaska Pacific University,3
79,Albany College of Pharmacy,2
80,Albany State University,10
81,Albert Einstein College of Medicine,2
82,Albion College,1
83,"Albright, John A",1
84,"Alchemie Solutions, Inc.",1
85,Alcorn State University,1
86,Alfred University,5
87,Algebra Project Inc,1
88,Allan Hancock College,1
89,Allegheny College,1
90,Allen Institute,2
91,"Allen, Matthew L",1
92,"Allen, Raymond Lance",1
93,Alma College,1
94,"Alvear, Oscar Enrique",1
95,Alvernia University,2
96,"Alweiss, Ryan",1
97,Amarillo College,1
98,American Association for the Advancement of Science,11
99,American Association of Community Colleges,3
100,American Association of Physics Teachers,4
101,American Astronomical Society,1
102,American Bar Foundation,4
103,American Chemical Society (ACS),1
104,American Educational Research Association,2
105,American Geological Institute,2
106,American Geophysical Union,2
107,American Indian Higher Education Consortium,4
108,American Indian Science and Engineering Society (AISES),5
109,American Institute of Chemical Engineers,7
110,American Institute of Mathematics,3
111,American Institutes for Research in the Behavioral Sciences,16
112,American Mathematical Association of Two-Year College,1
113,American Mathematical Society,3
114,American Meteorological Society,4
115,American Modeling Teachers Association,2
116,American Museum Natural History,35
117,American Physical Society,8
118,American Political Science Association,1
119,American Society For Cell Biology,2
120,American Society For Engineering Education,11
121,American Society of Plant Biologists,4
122,American Sociological Assoc,1
123,American Statistical Association,1
124,American University,21
125,American University of Beirut,2
126,Amherst College,18
127,"Amplified Sciences, LLC",1
128,Anderson University,1
129,"Anderson, Amy Susan",1
130,Andluca Technologies Inc.,1
131,Andrews University,3
132,Angelo State University,3
133,Anne Arundel Community College,2
134,Antelope Valley College,1
135,"Antonson, Nicholas Dolan",1
136,"Apigo, Austen",1
137,Appalachian College Association,1
138,Appalachian State University,21
139,Applied Computer Security Associates,1
140,Arapahoe Community College,2
141,Arcadia University,1
142,Archaeology Southwest,2
143,"Archbold Expeditions, Inc.",1
144,Arctic Research Consortium of the U.S.,1
145,Arieca Inc.,1
146,Arizona State University,462
147,Arkansas Childrens Hospital Research Institute,1
148,Arkansas Science & Technology Authority,2
149,Arkansas State University Main Campus,4
150,Arkansas Tech University,1
151,"Arrowsmith, Kathleen Caroline",1
152,Ascribe Bioscience Inc.,1
153,"Ashley, Caleb J",1
154,Aspen Center For Physics,1
155,Aspen Global Change Institute,2
156,"Associated Universities, Inc.",16
157,Association For Symbolic Logic,1
158,"Association for Women in Mathematics, Inc.",1
159,Association of American Colleges and Universities,4
160,Association of American Geographers,1
161,Association of Children's Museums,2
162,Association of Public and Land-Grant Universities,4
163,Association of Science-Technology Centers,1
164,"Association of Universities for Research in Astronomy, Inc.",12
165,Atlanta Botanical Garden,3
166,Atlantic Cape Community College,1
167,Atmospheric and Environmental Research Inc,1
168,Auburn University,138
169,Auburn University at Montgomery,6
170,Augsburg University,8
171,Augustana College,3
172,Augustana University Association,4
173,"Augustine, Jonah",1
174,Aurora University,1
175,Austin Community College,5
176,Austin Peay State University,5
177,"Avery, Montie S",2
178,Avila University,1
179,"Avisi Technologies, Inc",2
180,Azusa Pacific University,1
181,BALLYDEL TECHNOLOGIES INC.,1
182,"BASS AGRITECH, INC",1
183,BAY AREA BIOSCIENCE EDUCATION COMMUNITY,1
184,"BEAMLINK, INC.",1
185,BEEKEEPING 101 LLC,2
186,BENJAMIN FRANKLIN CUMMINGS INSTITUTE OF TECHNOLOGY,4
187,BERKM INC,1
188,"BEYOND SILICON, INC.",2
189,BEYOND THE DOME INC,2
190,"BIOCHIP LABS, INC.",1
191,BIOCOGNON LLC,1
192,BIODESIGN CHALLENGE INC,1
193,BIODIVERSITY OUTREACH NETWORK,1
194,BIODYNAMIK,1
195,BIOINDUSTRIAL MANUFACTURING AND DESIGN ECOSYSTEM,2
196,"BIOLATTICE, LLC",1
197,"BIOMESENSE, INC.",1
198,"BIRCH BIOSCIENCES, LLC",1
199,BIRED IMAGING INC,1
200,BLACKHAWK TECHNICAL COLLEGE DISTRICT,1
201,BLUESTEM BIOSCIENCES INC,1
202,BOARD OF TRUSTEES OF COMMUNITY COLLEGE DISTRICT #508,2
203,"BRAINSTORM THERAPEUTICS, INC.",1
204,BRIDGEVALLEY COMMUNITY & TECHNICAL COLLEGE,2
205,BRIDGEWATER STATE UNIVERSITY,5
206,"BRIGHTLIGHT PHOTONICS, INC",2
207,BSCS Science Learning,2
208,"Bailey, Virginia",1
209,Bakersfield College,1
210,Baldwin Wallace University,2
211,Ball State University,8
212,Bank Street College of Education,2
213,Bard College,3
214,Barnard College,30
215,"Barnes, Julia Gabrielle",1
216,Bates College,5
217,Baton Rouge Community College,2
218,Battelle Memorial Institute,8
219,BattelleEd.org,1
220,Bay Area Environmental Research Institute,3
221,Baylor College of Medicine,9
222,Baylor University,58
223,"Beckey, Jacob Lucas",1
224,Beckman Research Institute City of Hope,1
225,Bellarmine University,1
226,Bellevue College,3
227,Bemidji State University,4
228,Benedict College,4
229,Benedictine University,2
230,Bennington College,1
231,Bentley University,1
232,Berea College,3
233,Berkeley Geochronology Center,6
234,"Bernal, Jacob J",1
235,Bernice P Bishop Museum,3
236,"Bernstein, Justin Matthew",2
237,Berry College,4
238,Beth Israel Deaconess Medical Center,3
239,"Bethea, Candace",1
240,Bethel University,1
241,Bethune-Cookman University,4
242,Bigelow Laboratory for Ocean Sciences,12
243,"BioQUEST Curriculum Consortium, Inc",1
244,"Birch, Sydney",2
245,Black Hills State University,5
246,Bloomfield College,1
247,"Blum, Mirella L",1
248,"Blunt, Sarah",2
249,"Board of Regents, NSHE, obo University of Nevada, Reno",126
250,Board of Trustees of Illinois State University,23
251,"Bodish, Elijah S",1
252,Boise State University,91
253,"Bolin, Lana Gayle",1
254,"Boninger, Joseph",1
255,"Borbee, Erin M",2
256,"Bornbusch, Sarah Lyons",1
257,Boston College,63
258,Botanical Research Institute of Texas,6
259,Botanical Society of America,1
260,"Bou-Rabee, Ahmed",1
261,Bowdoin College,8
262,"Bowes, Shauna Marie",1
263,Bowie State University,19
264,Bowling Green State University,16
265,Boyce Thompson Institute Plant Research,14
266,Bradley University,4
267,"Bradley, Noah Patrick",1
268,Brandeis University,32
269,"Brauer, Daniel D",1
270,"Brauer, Kaley",1
271,"Brauner, Sarah",1
272,Bridgerland Applied Technology College,2
273,Brigham & Women's Hospital Inc,6
274,Brigham Young University,55
275,"Brittain, Rebecca Shae Anna",1
276,"Broad Institute, Inc.",1
277,Brookdale Community College,3
278,Brookings Institution,3
279,Broward College,4
280,Brown University,182
281,"Brown, Jennifer Marie",1
282,"Brown, Jordan",1
283,"Brown, Matthew C",1
284,"Bruno, Sarah Marie Michelle",1
285,Bryant University,1
286,Bryn Mawr College,9
287,Bucknell University,20
288,Bureau of the Census,1
289,"Burke, Colin Jacob",2
290,"Burkhardt, Paula Elisabeth",1
291,"Busch, Michael Peter",1
292,Butler University,3
293,"Butler, Kristina",1
294,"Butt, Karen",1
295,CAL POLY HUMBOLDT SPONSORED PROGRAMS FOUNDATION,20
296,CANISIUS UNIVERSITY OF BUFFALO NEW YORK,1
297,"CANOMIKS, INC.",1
298,CANOPII INC.,1
299,"CARAVEL BIO, INC.",1
300,CARBIDE RADIO INC,2
301,"CARTESIAN SYSTEMS, INC.",1
302,"CAST, Inc.",6
303,CATALYST COOPERATIVE,1
304,CE-RI-SS MATERIALS LLC,1
305,CELLCHORUS INC.,1
306,CELLUDOT LLC,1
307,CENSYN INC,1
308,"CENTER ON RURAL INNOVATION, INC",1
309,CHANGEAERIAL LLC,2
310,CHIBITRONICS INC.,1
311,CHITOVATE LLC,1
312,CHOSEN DIAGNOSTICS INC,1
313,CHUGACH REGIONAL RESOURCES COMMISSION,1
314,"CIRCLEIN, INC.",1
315,"CIRCULARITY FUELS, INC.",2
316,"CISTERNA BIOLOGICS, INC.",2
317,"CLARIA MEDICAL, INC.",2
318,CLUE GENETICS INC.,1
319,COBIO DIAGNOSTICS INC.,1
320,"COHERENT PHOTONICS, LIMITED LIABILITY COMPANY",1
321,COLLAMEDIX INC.,1
322,COLLEGE OF MUSCOGEE NATION,1
323,COMMONWEALTH UNIVERSITY OF PENNSYLVANIA,3
324,"COMMUNITY & TECHNICAL COLLEGES, WASHINGTION STATE BOARD FOR",1
325,COMON SOLUTIONS LLC,2
326,COMPACT MEDICAL SOLUTIONS LLC,1
327,COMPTON COLLEGE,2
328,"COMPUTER SCIENCE TEACHERS ASSOCIATION, LLC.",4
329,CONCHA INC.,2
330,"CONNECT DYNAMICS, INC.",1
331,"CONOVATE, INC.",1
332,CORD,1
333,"COSMIC EATS, INC.",2
334,CREATIVE BIOTHERAPEUTICS LLC,1
335,CROOKES RESEARCH LLC,1
336,"CROSSLINK COMPOSITES, INC.",1
337,"CRYPTYX BIOSCIENCE, INC.",1
338,CSU Fullerton Auxiliary Services Corporation,32
339,CSUB Auxiliary for Sponsored Programs Administration,7
340,CUNY Baruch College,11
341,CUNY Borough of Manhattan Community College,6
342,CUNY Bronx Community College,3
343,CUNY Brooklyn College,15
344,CUNY City College,58
345,CUNY College of Staten Island,14
346,CUNY Graduate School University Center,6
347,CUNY Hostos Community College,7
348,CUNY Hunter College,28
349,CUNY John Jay College of Criminal Justice,10
350,CUNY Medgar Evers College,2
351,CUNY New York City College of Technology,10
352,CUNY Queens College,28
353,CUNY Queensborough Community College,4
354,CUNY York College,2
355,"Cal Poly Pomona Foundation, Inc.",23
356,"Calabrese, Gina",1
357,"Calderon, Aaron",1
358,Caldwell University Inc,1
359,California Academy of Sciences,8
360,California Association for Research in Astronomy,4
361,California Baptist University,1
362,California Institute of Technology,141
363,California Lutheran University,1
364,California Maritime Academy,1
365,California Polytechnic State University Foundation,53
366,California State L A University Auxiliary Services Inc.,23
367,California State University Channel Islands,4
368,California State University San Marcos Corporation,17
369,"California State University, East Bay Foundation, Inc.",12
370,"California State University, Trustees",2
371,California State University-Dominguez Hills Foundation,19
372,California State University-Fresno Foundation,14
373,California State University-Long Beach Foundation,39
374,California State University-Sacramento,1
375,California State University-Stanislaus,1
376,Calvin University,3
377,"Camerad Technologies, LLC",2
378,Campbell University,4
379,Canada-France-Hawaii Telescope Corporation,1
380,Cankdeska Cikana Community College,2
381,"Cannizzo, Catherine Kendall Asaro",2
382,"Capano, John",1
383,"Capovilla-Searle, Orsola",1
384,Carleton College,30
385,"Carmichael, Theron W",2
386,"Carmo, Olivia Maria Silva",1
387,Carnegie Institute,1
388,Carnegie Institution of Washington,23
389,Carnegie-Mellon University,339
390,"Carrera, Sofia",1
391,"Carrick, Christian",1
392,Carroll College,2
393,Carthage College,4
394,"Cary Institute of Ecosystem Studies, Inc.",19
395,Case Western Reserve University,89
396,Catholic University of America,21
397,"Cecchini, Gabriel George",2
398,Cedars-Sinai Medical Center,1
399,"Cellini, Benjamin",1
400,Center for Open Science,3
401,Central Community College,1
402,Central Connecticut State University,3
403,Central Lakes College,1
404,Central Michigan University,20
405,Central New Mexico Community College,1
406,Central State University,16
407,Central Virginia Community College,1
408,Central Washington University,11
409,Central Wyoming College,1
410,Centre College of Kentucky,1
411,Chabot College,2
412,"Chaidez, Julian Cruz",1
413,Chaminade University of Honolulu,3
414,Champlain College Incorporated,1
415,"Chaney, Carlye",2
416,Changing Expectations Corp,1
417,Chapman University,14
418,"Chappell, Callie Rodgers",1
419,Charmtech Labs LLC,2
420,"Chase, Danielle Lee",2
421,Chatham College,5
422,Chemeketa Community College,1
423,"Chen, Nathan",1
424,"Chen, Sitan",1
425,Chesapeake College,1
426,Chicago Children's Museum,1
427,Chicago Horticultural Society,2
428,Chicago State University,13
429,Chicago Zoological Society,2
430,Chico State Enterprises,17
431,Chief Dull Knife Memorial College,1
432,Child Trends Inc,1
433,Children's Hospital Corporation,5
434,Children's Hospital Los Angeles,1
435,Children's Research Institute,2
436,Chippewa Valley Technical College,3
437,Christopher Newport University,12
438,"Ciesla, Jessica H",1
439,Citadel Military College of South Carolina,8
440,Citrus Community College District,1
441,City Colleges of Chicago Harold Washington College,2
442,City Colleges of Chicago Harry S Truman College,3
443,Claflin University,4
444,Clairways LLC,2
445,Claremont Graduate University,2
446,Claremont McKenna College,7
447,Clark Atlanta University,18
448,Clark University,17
449,"Clark, Meaghan I",1
450,Clarkson University,29
451,Clayton College and State University,2
452,Clemson University,148
453,Cleveland Clinic Foundation,1
454,Cleveland State Community College,1
455,Cleveland State University,21
456,Clover Park Technical College,1
457,Coastal Carolina University,6
458,Coastal and Estuarine Research Federation,1
459,Code for Science and Society Inc,1
460,CodeVA,5
461,Coe College,2
462,Coker College,1
463,Colby College,8
464,Cold Spring Harbor Laboratory,11
465,Colgate University,19
466,College of Alameda,1
467,College of Central Florida,2
468,College of Charleston,20
469,College of Lake County,2
470,College of Our Lady of the Elms,1
471,College of Saint Benedict,1
472,College of Saint Mary,1
473,College of Saint Scholastica,1
474,College of Southern Maryland,2
475,College of Southern Nevada,3
476,College of William & Mary Richard Bland College,2
477,College of William & Mary Virginia Institute of Marine Science,11
478,College of William and Mary,66
479,College of Wooster,5
480,College of the Canyons,4
481,College of the Holy Cross,6
482,College of the Menominee Nation,2
483,Collin County Community College,2
484,Colorado College,9
485,Colorado Mesa University,1
486,Colorado School of Mines,111
487,Colorado State University,227
488,Colorado State University-Pueblo,8
489,Columbia Basin College,1
490,Columbia State Community College,1
491,Columbia University,369
492,Columbus State Community College,5
493,Columbus State University,3
494,"Comerford, Mattheau S",1
495,Community College of Aurora,1
496,Community College of Philadelphia,3
497,Computational Physics Inc,3
498,Computing Research Association,9
499,Concord Consortium,16
500,Concord University,5
501,Concordia College at Moorhead,3
502,"Conley, Sarah A",1
503,Connecticut College,2
504,Consortium of Universities for the Advancement of Hydrologic Sci,3
505,Contra Costa Community College District,1
506,Cooper Union,1
507,Coppin State University,5
508,"Coreas, Roxana",1
509,Cornell University,383
510,Corning Community College,2
511,Corporation for Education Network Initiatives in California,1
512,"Corsa, Brianna Durelle",1
513,"Corsha, Inc.",2
514,"Cortes, Jorge Ivan",2
515,Cossatot Technical College,1
516,"Cotner, Sean",2
517,Council of Graduate Schools,7
518,Council of Independent Colleges,2
519,"Couper, Lisa",1
520,"Creedon, Ryan Patrick",1
521,Creighton University,8
522,"Crocker, Daniel",1
523,Crow Canyon Archaeological Center,1
524,Cuesta College,2
525,"Culha, Cansu",2
526,"Cunningham, William Streit",1
527,"Curran, Joseph B",1
528,Curry College,2
529,Cuyahoga Community College,1
530,D'Youville College,1
531,DARCY SOLUTIONS INC.,1
532,DASION CORPORATION,1
533,DATA ELEVATE LLC,1
534,DAYZERO WATER LLC,1
535,"DEBATER HUB, LLC",2
536,DEEPBITS TECHNOLOGY LLC,1
537,DEEPSEQAI LLC,1
538,"DEFINED BIOSCIENCE, INC.",1
539,DELAQUA PHARMACEUTICALS INC,1
540,"DELAWARE MUSEUM OF NATURE AND SCIENCE, INC.",1
541,DENCODA LLC,1
542,DIAMOND AGE TECHNOLOGY LLC,1
543,"DIFFRACT TECHNOLOGY, INC.",1
544,"DIGITAL BAZAAR, INC.",1
545,DINYA DNA LLC,1
546,DMAG USA LLC,1
547,DOANE UNIVERSITY,3
548,"DUET BIOSYSTEMS, INC",1
549,"DYNOCARDIA, INC.",1
550,"Dahlin, Kyle Joseph-Marley",1
551,Dakota College at Bottineau,1
552,Dakota State University,4
553,"Dalal, Rahul",2
554,Dallas College,1
555,Dana-Farber Cancer Institute,1
556,Dartmouth College,105
557,Data & Society Research Institute,2
558,Davenport University,1
559,David Lipscomb University,2
560,"David, Kyle T",1
561,Davidson College,11
562,"Davis, Julie",1
563,"De Furio, Matthew",1
564,DePaul University,12
565,"DeSimone, Joely",1
566,"DeTar, Rachael Ann",1
567,"Deem, Kevin D",1
568,"Defant, Colin",1
569,Del Mar College,1
570,Delaware State University,20
571,Delaware Valley University,1
572,Denison University,4
573,Denver Museum of Nature and Science,1
574,Department of Defense,1
575,Department of the Navy Naval Sea Systems Command,1
576,Des Moines Area Community College,2
577,"DesJardins, Nicole S",1
578,Desert Botanical Garden,3
579,"Devadas, Sheela",1
580,Development Gateway,1
581,"Dhillon, Gurbir S",1
582,Dickinson College,6
583,Digital Harbor Foundation,1
584,Digital Promise Global,10
585,Dillard University,4
586,Dine College,3
587,"Ding, David",2
588,"Dinkins, Hunter G",1
589,District of Columbia Public Schools,1
590,"Domat, George",1
591,Dominican University,4
592,Dona Ana Branch Community College,1
593,Donald Danforth Plant Science Center,27
594,"Dordt University, Incorporated",6
595,"Dowdell, Katherine",1
596,Drake University,4
597,Drexel University,92
598,"Drone Amplified, Inc.",1
599,"Duff, Timothy",1
600,Duke University,229
601,Duquesne University,5
602,Durham Technical Community College,1
603,EARTH IMAGES FOUNDATION,1
604,EARTHEN CARBON LLC,1
605,EARTHEN INC.,2
606,EARTHSCOPE CONSORTIUM INC.,9
607,EARTHSHOT Labs PBC,1
608,"EASCRA BIOTECH, INC.",1
609,EAST TEXAS A&M UNIVERSITY,9
610,"EASTIE FARM, INC.",2
611,ECATE LLC,1
612,ECHOICS,1
613,"ECLIPSE ENTEROGENESIS, INC.",2
614,EDNA INC.,2
615,"ELATEQ, INC.",2
616,ELITE NEURO INC,2
617,"ELLISON INSTITUTE, LLC",2
618,"EMERALD TUTU INC, THE",1
619,EMODE PHOTONIX LLC,2
620,"EMPALLO, INC.",1
621,"EMPIRI, INC.",1
622,"EMTRUTH, INC.",1
623,"EMVOLON, INC.",1
624,ENCOORD INC,1
625,ENCORE CO2 LLC,2
626,"ENVISION ENDOSCOPY, INC.",1
627,ENVISION HEALTH TECHNOLOGIES INC,1
628,ENVIVO BIO INC,2
